2025-12-21 09:21:51: Server: SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.14
2025-12-21 09:21:51: Server KEXes: sntrup761x25519-sha512@openssh.com,curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group-exchange-sha256,diffie-hellman-group16-sha512,diffie-hellman-group18-sha512,diffie-hellman-group14-sha256,ext-info-s,kex-strict-s-v00@openssh.com
2025-12-21 09:21:51: Server Host Keys: rsa-sha2-512,rsa-sha2-256,ecdsa-sha2-nistp256,ssh-ed25519
2025-12-21 09:21:51: Chosen Host Key: ssh-ed25519
2025-12-21 09:21:51: Ciphers: chacha20-poly1305@openssh.com,aes128-ctr,aes192-ctr,aes256-ctr,aes128-gcm@openssh.com,aes256-gcm@openssh.com
2025-12-21 09:21:51: MACs: umac-64-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,umac-64@openssh.com,umac-128@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1
2025-12-21 09:21:51: Auth: start: publickey
2025-12-21 09:21:51: Auth: publickey: no keys available
2025-12-21 09:21:51: Auth: start: password
2025-12-21 09:21:52: -- Analysis Started by On File Change, After Delay
2025-12-21 09:21:52: /.git: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/logs: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/logs/refs: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/logs/refs/heads: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/logs/refs/remotes: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/logs/refs/remotes/PropulsionSystem: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects/00: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects/01: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects/02: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects/03: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects/04: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects/05: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects/06: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects/07: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects/08: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects/09: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects/0b: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects/0c: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects/0d: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects/0e: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects/0f: Conflict: File Modified on Both Sides
2025-12-21 09:21:52: /.git/objects/11: Conflict: File Modified on Both Sides
